"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:43872","worker_group":"lp-wg5-s19jpro.cos-pb13-r5b1-104","coin":"BSV","total_requests":14,"avg_latency":38.92857142857143,"95_percentile":50,"99_percentile":50,"median_latency":37,"max_latency":60,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"68.70.39.210:38716","worker_group":"sfm-wg3-m30s++.CA051700C194","coin":"BSV","total_requests":9,"avg_latency":62.22222222222222,"95_percentile":63,"99_percentile":63,"median_latency":62,"max_latency":63,"min_latency":62,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:42121","worker_group":"lp-wg1-s19jpro.cos-pb09-r4e5-104","coin":"BSV","total_requests":5,"avg_latency":37.2,"95_percentile":37.5,"99_percentile":37.5,"median_latency":37,"max_latency":38,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"68.70.33.30:40546","worker_group":"sfm-wg3-m30s++.CA0517011383","coin":"BSV","total_requests":10,"avg_latency":64.7,"95_percentile":67.5,"99_percentile":67.5,"median_latency":64,"max_latency":71,"min_latency":64,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:27265","worker_group":"lp-wg7-s19jpro.cos-pb15-r5d1-104","coin":"BSV","total_requests":12,"avg_latency":37.916666666666664,"95_percentile":42.5,"99_percentile":42.5,"median_latency":37,"max_latency":45,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:44760","worker_group":"lp-wg8-s19jpro.cos-pb16-r8c1-100","coin":"BSV","total_requests":14,"avg_latency":38.142857142857146,"95_percentile":45,"99_percentile":45,"median_latency":37,"max_latency":53,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"68.70.39.210:34372","worker_group":"sfm-wg2-m30s++.CA040A008678","coin":"BSV","total_requests":11,"avg_latency":152.9090909090909,"95_percentile":174,"99_percentile":174,"median_latency":158,"max_latency":176,"min_latency":79,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:18914","worker_group":"lp-wg1-s19jpro.cos-pb09-r8a5-104","coin":"BSV","total_requests":8,"avg_latency":37.125,"95_percentile":37.5,"99_percentile":37.5,"median_latency":37,"max_latency":38,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"68.70.33.30:47918","worker_group":"sfm-wg3-m30s++.CA040A007EBD","coin":"BSV","total_requests":12,"avg_latency":63.833333333333336,"95_percentile":64,"99_percentile":64,"median_latency":64,"max_latency":64,"min_latency":63,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:35066","worker_group":"lp-wg4-s19jpro.cos-pb12-r9c3-104","coin":"BSV","total_requests":5,"avg_latency":37.2,"95_percentile":37.5,"99_percentile":37.5,"median_latency":37,"max_latency":38,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"32.132.222.50:6643","worker_group":"lp-wg8-s19jpro.cos-pb16-r7c3-96","coin":"BSV","total_requests":10,"avg_latency":31.8,"95_percentile":35,"99_percentile":35,"median_latency":31,"max_latency":38,"min_latency":31,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:48968","worker_group":"lp-wg8-s19jpro.cos-pb16-r4a6-104","coin":"BSV","total_requests":17,"avg_latency":40.94117647058823,"95_percentile":70.5,"99_percentile":70.5,"median_latency":37,"max_latency":91,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:65410","worker_group":"lp-wg1-s19jpro.cos-pb09-r3d6-100","coin":"BSV","total_requests":8,"avg_latency":37.25,"95_percentile":38,"99_percentile":38,"median_latency":37,"max_latency":38,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"8.46.207.95:23082","worker_group":"lp-wg1-s19jpro.cos-pb09-r4b6-96","coin":"BSV","total_requests":12,"avg_latency":42.083333333333336,"95_percentile":66,"99_percentile":66,"median_latency":37,"max_latency":83,"min_latency":37,"latency":"true","request_type":"minerExchangeDataWithStratum"}
"miner latency","progname":"orca_mapicron","service":"tcpmeasurer","remote_target":"68.70.39.210:42842","worker_group":"sfm-wg2-m30s++.CA040A008448","coin":"BSV","total_requests":15,"avg_latency":157.53333333333333,"95_percentile":178,"99_percentile":178,"median_latency":162,"max_latency":178,"min_latency":74,"latency":"true","request_type":"minerExchangeDataWithStratum"}
